scenario,method,machines,n_total,n_served,n_dropped,served_ratio,sum_C,avg_C,sum_flow,avg_flow,sum_wait,avg_wait,hard_deadline_misses,Lmax,sum_tardiness,utilisation,makespan
small_validation,FCFS,2,4.0,4.0,0.0,1.0,50.5,12.625,9.0,2.25,2.5,0.625,2.0,0.75,1.5,0.9285714285714286,13.5
small_validation,SPT,2,4.0,4.0,0.0,1.0,50.5,12.625,9.0,2.25,2.5,0.625,2.0,0.75,1.5,0.9285714285714286,13.5
small_validation,SPT+feas,2,4.0,2.0,2.0,0.5,24.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
small_validation,EDF+feas,2,4.0,2.0,2.0,0.5,24.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
small_validation,MinSlack+feas,2,4.0,2.0,2.0,0.5,24.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
small_validation,Weighted(alpha=0.7)+feas,2,4.0,2.0,2.0,0.5,24.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
low_demand,FCFS,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
low_demand,SPT,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
low_demand,SPT+feas,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
low_demand,EDF+feas,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
low_demand,MinSlack+feas,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
low_demand,Weighted(alpha=0.7)+feas,2,3.0,3.0,0.0,1.0,29.0,9.666666666666666,3.5,1.1666666666666667,0.0,0.0,0.0,-0.5,0.0,0.875,10.0
peak_demand,FCFS,2,6.0,6.0,0.0,1.0,67.1,11.183333333333332,17.599999999999998,2.933333333333333,8.399999999999999,1.3999999999999997,4.0,2.299999999999999,6.249999999999998,0.9583333333333335,12.799999999999999
peak_demand,SPT,2,6.0,6.0,0.0,1.0,66.5,11.083333333333334,17.0,2.8333333333333335,7.800000000000001,1.3,4.0,2.0,5.649999999999999,0.8363636363636363,13.5
peak_demand,SPT+feas,2,6.0,3.0,3.0,0.5,30.4,10.133333333333333,5.799999999999999,1.933333333333333,1.0999999999999988,0.36666666666666625,0.0,0.29999999999999893,0.29999999999999893,0.8392857142857146,10.799999999999999
peak_demand,EDF+feas,2,6.0,3.0,3.0,0.5,30.4,10.133333333333333,5.799999999999999,1.933333333333333,1.0999999999999988,0.36666666666666625,0.0,0.29999999999999893,0.29999999999999893,0.8392857142857146,10.799999999999999
peak_demand,MinSlack+feas,2,6.0,3.0,3.0,0.5,30.4,10.133333333333333,5.799999999999999,1.933333333333333,1.0999999999999988,0.36666666666666625,0.0,0.29999999999999893,0.29999999999999893,0.8392857142857146,10.799999999999999
peak_demand,Weighted(alpha=0.7)+feas,2,6.0,3.0,3.0,0.5,30.4,10.133333333333333,5.799999999999999,1.933333333333333,1.0999999999999988,0.36666666666666625,0.0,0.29999999999999893,0.29999999999999893,0.8392857142857146,10.799999999999999
mixed_deadlines,FCFS,2,5.0,5.0,0.0,1.0,56.0,11.2,9.200000000000001,1.8400000000000003,3.200000000000001,0.6400000000000002,2.0,1.3999999999999986,2.4499999999999993,0.9375000000000002,12.2
mixed_deadlines,SPT,2,5.0,5.0,0.0,1.0,55.4,11.08,8.600000000000001,1.7200000000000002,2.6000000000000014,0.5200000000000002,3.0,1.1500000000000004,1.8499999999999996,0.7692307692307692,12.9
mixed_deadlines,SPT+feas,2,5.0,3.0,2.0,0.6,32.3,10.766666666666666,5.000000000000002,1.6666666666666672,0.700000000000002,0.23333333333333398,0.0,0.15000000000000036,0.15000000000000036,0.7413793103448275,11.9
mixed_deadlines,EDF+feas,2,5.0,3.0,2.0,0.6,32.3,10.766666666666666,5.000000000000002,1.6666666666666672,0.700000000000002,0.23333333333333398,0.0,0.15000000000000036,0.15000000000000036,0.7413793103448275,11.9
mixed_deadlines,MinSlack+feas,2,5.0,3.0,2.0,0.6,32.3,10.766666666666666,5.000000000000002,1.6666666666666672,0.700000000000002,0.23333333333333398,0.0,0.15000000000000036,0.15000000000000036,0.7413793103448275,11.9
mixed_deadlines,Weighted(alpha=0.7)+feas,2,5.0,3.0,2.0,0.6,32.3,10.766666666666666,5.000000000000002,1.6666666666666672,0.700000000000002,0.23333333333333398,0.0,0.15000000000000036,0.15000000000000036,0.7413793103448275,11.9
